group,obsC,PVals
Semiaquatic,0.22719219040235789,0.009900990099009901
Semiaquatic,0.9822906271356974,0.07920792079207921
Semiaquatic,0.0904122430851427,0.0891089108910891
Semiaquatic,0.0024096526970964266,0.39603960396039606
