PC,df1,df2,F,p,p_bonferonni
PC1,4,200,38.07602288839597,1.1401349548318067e-23,7.980944683822647e-23
PC2,4,200,34.95862401340708,3.9905116288834447e-22,2.7933581402184114e-21
PC3,4,200,39.81388968336209,1.6558810553768236e-24,1.1591167387637766e-23
PC4,4,200,8.52852042659043,2.2520503759433987e-6,1.576435263160379e-5
PC5,4,200,5.740760258051392,2.151557680737018e-4,0.0015060903765159127
PC6,4,200,3.1424917066911733,0.01557745382632294,0.10904217678426058
PC7,4,200,1.3733213321633,0.24450223107283203,1
