PC,df1,df2,F,p,p_bonferonni
PC1,7,158,8.608242053959975,6.309395127631692e-9,4.4165765893421846e-8
PC2,7,158,17.013422584568605,1.1853397985301677e-16,8.297378589711175e-16
PC3,7,158,4.941691213959803,4.4898722257168626e-5,3.142910558001804e-4
PC4,7,158,7.181603904232457,1.854178716017985e-7,1.2979251012125894e-6
PC5,7,158,2.298426923098588,0.029445792253051887,0.2061205457713632
PC6,7,158,2.422895705897631,0.022008445937284262,0.15405912156098983
PC7,7,158,0.8320841741380964,0.562148722808484,1
