PC,df1,df2,F,p,p_bonferonni
PC1,4,200,38.07602288759599,1.140134955854098e-23,7.980944690978686e-23
PC2,4,200,34.95862400915684,3.9905116485680686e-22,2.793358153997648e-21
PC3,4,200,39.8138898986291,1.6558806633676073e-24,1.1591164643573251e-23
PC4,4,200,8.528520470017087,2.2520502180142666e-6,1.5764351526099865e-5
PC5,4,200,5.740760281392358,2.1515575977948243e-4,0.001506090318456377
PC6,4,200,3.1424917062125655,0.015577453838442902,0.10904217686910031
PC7,4,200,1.373321331724662,0.24450223122627973,1
