PC,df1,df2,F,p,p_bonferonni
PC1,9,196,11.72230143808318,1.1007911816516899e-14,7.705538271561829e-14
PC2,9,196,21.436768800016345,5.269124231725783e-25,3.6883869622080485e-24
PC3,9,196,14.92169799017443,2.4068028490523843e-18,1.6847619943366692e-17
PC4,9,196,3.76677285812628,2.1416043615025038e-4,0.0014991230530517527
PC5,9,196,4.659391916252462,1.323726967932198e-5,9.266088775525385e-5
PC6,9,196,1.1831100074159258,0.3076469758670327,1
PC7,9,196,2.274841183012139,0.01907853636776872,0.13354975457438104
