variable,K,p
JL_log10_res,0.38740452616691196,1e-4
HLRA_log10_res,0.5179809733288719,1e-4
HLV_log10_res,0.19391452246834412,0.0016000000000000005
HWLSL_log10_res,0.13390574937858635,0.04730000000000033
HWFSL_log10_res,0.4595039405406938,1e-4
HW_log10_res,0.15812555387657576,0.01759999999999995
HHP_log10_res,0.16952193080968453,0.0091
HH_log10_res,0.4160188850038921,1e-4
ES_log10_res,0.34992345760798543,1e-4
EN_log10_res,0.27368781553116284,1e-4
ED_log10_res,0.8485287765764479,1e-4
NL_log10_res,0.5365300334370102,1e-4
EL_log10_res,0.4530731423995341,1e-4
NN_log10_res,0.29024574657993174,1e-4
EE_log10_res,0.2604653618524498,2e-4
BWH_log10_res,0.11871346290014592,0.07300000000000106
BWM_log10_res,0.09919602107433728,0.11340000000000222
BWV_log10_res,0.27525844451710985,2e-4
MBVL_log10_res,0.029380362525070768,0.5810999999999523
TL_log10_res,0.19231782864954663,0.003399999999999998
DSR_res,0.23879487846630298,8.000000000000001e-4
