PC,df1,df2,F,p,p_bonferonni
Comp1,4,118,3.7210837657024385,0.006876827797129353,0.055014622377034826
Comp2,4,118,9.49407001925779,1.0892216669605584e-6,8.713773335684467e-6
Comp3,4,118,15.277147701537642,4.286113786778446e-10,3.428891029422757e-9
Comp4,4,118,3.6624126321682637,0.007539765631820502,0.06031812505456401
Comp5,4,118,14.74333265236884,8.503988277623688e-10,6.803190622098951e-9
Comp6,4,118,1.13106342800232,0.3452804646683435,1
Comp7,4,118,4.034195027065601,0.0042080251377118625,0.0336642011016949
Comp8,4,118,0.9864175856649787,0.41779740658757136,1
