Habit,Taxa1,Taxa2,C1,C2,C3,C4,pC1,pC2,pC3,pC4
Aquatic,Afronatrix_anoscopus_2,Atretium_schistosum_2,0.5445461476538924,0.0630692020864928,0.2668495443749883,0.026891645514800104,0,0,0,0
Aquatic,Afronatrix_anoscopus_2,Fowlea_asperrimus,0.3154283134256274,0.036532830374344655,0.16270696166049495,0.01557698356056418,0.0891089108910891,0.009900990099009901,0.0594059405940594,0.04950495049504951
Aquatic,Afronatrix_anoscopus_2,Fowlea_flavipunctatus_1,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Afronatrix_anoscopus_2,Fowlea_flavipunctatus_2,0.32984948140438675,0.038203086534440975,0.14384838484351192,0.016289152655626204,0.12871287128712872,0.019801980198019802,0.0891089108910891,0.1188118811881188
Aquatic,Afronatrix_anoscopus_2,Fowlea_melanzostus,0.5036389698188316,0.09287807558278147,0.2743180276168697,0.03960164711206767,0,0,0,0
Aquatic,Afronatrix_anoscopus_2,Fowlea_piscator_2,0.2585774409343702,0.02994837617998046,0.10091246262796133,0.012769483191993605,0.18811881188118812,0.07920792079207921,0.21782178217821782,0.18811881188118812
Aquatic,Afronatrix_anoscopus_2,Fowlea_punctulatus,0.3469633048204762,0.0401852053909459,0.15827504138121426,0.017134294751830825,0.0594059405940594,0.009900990099009901,0.04950495049504951,0.0594059405940594
Aquatic,Afronatrix_anoscopus_2,Fowlea_sanctijohannis,0.20761363996798432,0.024045761174635263,0.08960578584636843,0.01025270756961614,0.19801980198019803,0.0891089108910891,0.19801980198019803,0.1485148514851485
Aquatic,Afronatrix_anoscopus_2,Fowlea_tytleri,0.03137582080024881,0.0036339399171329972,0.01330941861628236,0.0015494507753500081,0.6633663366336634,0.6039603960396039,0.6831683168316832,0.6633663366336634
Aquatic,Afronatrix_anoscopus_2,Fowlea_yunnanensis,0.24437612212181015,0.02830358289672444,0.09839522384092812,0.012068171038753,0.2376237623762376,0.07920792079207921,0.27722772277227725,0.19801980198019803
Aquatic,Afronatrix_anoscopus_2,Liodytes_alleni,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Afronatrix_anoscopus_2,Liodytes_pygaea,0.7403984740867057,0.09889818936669384,0.2992253402944543,0.014558591684463872,0,0,0,0
Aquatic,Afronatrix_anoscopus_2,Liodytes_rigida,0.5714143173966219,0.062302205963164894,0.22828156480704395,0.009171374961133022,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901
Aquatic,Afronatrix_anoscopus_2,Natrix_tessellata_3,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Afronatrix_anoscopus_2,Nerodia_clarkii,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Afronatrix_anoscopus_2,Nerodia_cyclopion,0.3358513470595903,0.03446837647323399,0.12959675655243,0.005074016241486323,0.10891089108910891,0.04950495049504951,0.15841584158415842,0.2079207920792079
Aquatic,Afronatrix_anoscopus_2,Nerodia_fasciata,0.525332174041574,0.10846879138930283,0.30344470516266137,0.01596745961130776,0.019801980198019802,0,0,0
Aquatic,Afronatrix_anoscopus_2,Nerodia_paucimaculata,0.09357470355506403,0.010420144176039425,0.03747040148350656,0.0015339272167028313,0.43564356435643564,0.38613861386138615,0.49504950495049505,0.5148514851485149
Aquatic,Afronatrix_anoscopus_2,Nerodia_rhombifer,0.3504576283248143,0.043480901948423425,0.15634280980541126,0.006400730909159495,0.0297029702970297,0,0.04950495049504951,0.0891089108910891
Aquatic,Afronatrix_anoscopus_2,Nerodia_sipedon,0.5737020322121154,0.06388540559168612,0.21295433031554886,0.009404434404326404,0,0,0.009900990099009901,0.0297029702970297
Aquatic,Afronatrix_anoscopus_2,Nerodia_taxispilota,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Afronatrix_anoscopus_2,Paratapinophis_praemaxillaris,0.08224233901253786,0.008398802771678107,0.03436460575266631,0.0012363698564574908,0.4158415841584158,0.39603960396039606,0.44554455445544555,0.43564356435643564
Aquatic,Afronatrix_anoscopus_2,Regina_grahami,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Afronatrix_anoscopus_2,Thamnophis_couchii,0.26160352260129394,0.03097397958262925,0.11233537706534405,0.004559613522492689,0.13861386138613863,0.04950495049504951,0.1188118811881188,0.18811881188118812
Aquatic,Afronatrix_anoscopus_2,Thamnophis_rufipunctatus,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Afronatrix_anoscopus_2,Thamnophis_sumichrasti,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Afronatrix_anoscopus_2,Thamnophis_validus,0.36629303830283233,0.04503859712927635,0.14592134370784085,0.006630035896966807,0.06930693069306931,0.0297029702970297,0.0891089108910891,0.07920792079207921
Aquatic,Afronatrix_anoscopus_2,Trimerodytes_aequifasciata,0.173556866946597,0.026095591153931813,0.09420962136191187,0.003841476358744597,0.25742574257425743,0.0891089108910891,0.24752475247524752,0.2376237623762376
Aquatic,Afronatrix_anoscopus_2,Trimerodytes_annularis,0.4483216536197424,0.07697068976320436,0.24021028512574122,0.011330691199806911,0.0297029702970297,0,0.009900990099009901,0.009900990099009901
Aquatic,Afronatrix_anoscopus_2,Trimerodytes_percarinata,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Afronatrix_anoscopus_2,Xenochrophis_cerasogaster,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Afronatrix_anoscopus_2,Xenochrophis_trianguligerus_1,0.0016570773094952695,1.7149264469397407e-4,5.630154602810993e-4,7.312157530043627e-5,0.5742574257425742,0.5742574257425742,0.5742574257425742,0.5742574257425742
Aquatic,Afronatrix_anoscopus_2,Xenochrophis_trianguligerus_2,0.25181270890835816,0.03505653346071559,0.11014692327303935,0.014947515421400761,0.18811881188118812,0.0594059405940594,0.1782178217821782,0.10891089108910891
Aquatic,Afronatrix_anoscopus_2,Xenochrophis_vittatus,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Helophis_schoutedeni,0.3445599595766802,0.03446453973518038,0.16787011617124903,0.014695099267598042,0.07920792079207921,0.009900990099009901,0.0594059405940594,0.0891089108910891
Aquatic,Atretium_schistosum_2,Hydraethiops_melanogaster,0.3866043528001051,0.032070458464049344,0.12917976680636564,0.013674303336351184,0.0594059405940594,0.04950495049504951,0.12871287128712872,0.1188118811881188
Aquatic,Atretium_schistosum_2,Limnophis_bicolor,0.3027059281930794,0.021229510608628377,0.1114441124412459,0.00905190576149985,0.06930693069306931,0.0594059405940594,0.10891089108910891,0.13861386138613863
Aquatic,Atretium_schistosum_2,Liodytes_alleni,0.15149490102181895,0.018717964100990803,0.07606650839565458,0.002755431603508717,0.26732673267326734,0.1485148514851485,0.24752475247524752,0.32673267326732675
Aquatic,Atretium_schistosum_2,Liodytes_pygaea,0.42885191824373103,0.04433945317443408,0.14898517815475304,0.0065271164053928,0.019801980198019802,0.009900990099009901,0.04950495049504951,0.0594059405940594
Aquatic,Atretium_schistosum_2,Liodytes_rigida,0.6521214390773129,0.04019672006517214,0.16747656650147347,0.0059172734933873195,0,0.009900990099009901,0.019801980198019802,0.10891089108910891
Aquatic,Atretium_schistosum_2,Natrix_tessellata_3,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Nerodia_clarkii,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Nerodia_cyclopion,0.0969851835087745,0.006609004043441037,0.02835726702104414,9.72897400099746e-4,0.38613861386138615,0.44554455445544555,0.46534653465346537,0.504950495049505
Aquatic,Atretium_schistosum_2,Nerodia_fasciata,0.39937537016207103,0.0589012732722142,0.18148378268550544,0.008670730907779192,0.0594059405940594,0,0.039603960396039604,0.06930693069306931
Aquatic,Atretium_schistosum_2,Nerodia_paucimaculata,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Nerodia_rhombifer,0.13886920292685723,0.009775929934583254,0.039867855514309276,0.0014390938111699737,0.38613861386138615,0.42574257425742573,0.46534653465346537,0.5445544554455446
Aquatic,Atretium_schistosum_2,Nerodia_sipedon,0.20160228722822848,0.012021330191707952,0.045008276406768605,0.0017696343976155097,0.26732673267326734,0.3564356435643564,0.48514851485148514,0.5247524752475248
Aquatic,Atretium_schistosum_2,Nerodia_taxispilota,0.04575927909507249,0.00530906117649757,0.015924450209032156,7.815355811003093e-4,0.5247524752475248,0.504950495049505,0.594059405940594,0.594059405940594
Aquatic,Atretium_schistosum_2,Paratapinophis_praemaxillaris,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Regina_grahami,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Thamnophis_couchii,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Thamnophis_rufipunctatus,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Thamnophis_sumichrasti,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Thamnophis_validus,0.03988707664546354,0.00227981687042967,0.008267827800880766,3.3560698274134047e-4,0.5346534653465347,0.5742574257425742,0.6039603960396039,0.6237623762376238
Aquatic,Atretium_schistosum_2,Trimerodytes_aequifasciata,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Trimerodytes_annularis,0.20690823966260552,0.023854784027107084,0.08296560310932093,0.003511611917221622,0.18811881188118812,0.06930693069306931,0.19801980198019803,0.24752475247524752
Aquatic,Atretium_schistosum_2,Trimerodytes_percarinata,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Xenochrophis_trianguligerus_1,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Xenochrophis_trianguligerus_2,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Atretium_schistosum_2,Xenochrophis_vittatus,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Fowlea_asperrimus,Helophis_schoutedeni,0.016958352297788637,0.0015570129377108222,0.008047043261982509,6.638840923570869e-4,0.5148514851485149,0.5148514851485149,0.5148514851485149,0.5148514851485149
Aquatic,Fowlea_asperrimus,Hydraethiops_melanogaster,0.15435791668267818,0.01245632880412155,0.05268143481213844,0.0053111688040202686,0.297029702970297,0.27722772277227725,0.36633663366336633,0.3564356435643564
Aquatic,Fowlea_asperrimus,Limnophis_bicolor,0.23994636611096343,0.017018609842164238,0.09524699301777188,0.007256448597566499,0.07920792079207921,0.07920792079207921,0.1485148514851485,0.2079207920792079
Aquatic,Fowlea_asperrimus,Liodytes_alleni,0.3083885513244735,0.03810297108294547,0.16265408934769798,0.0056090571679197334,0.0891089108910891,0.0297029702970297,0.039603960396039604,0.1485148514851485
Aquatic,Fowlea_asperrimus,Liodytes_pygaea,0.37258301343557865,0.03852175162342969,0.1347885921884306,0.005670704958777694,0.039603960396039604,0.039603960396039604,0.06930693069306931,0.12871287128712872
Aquatic,Fowlea_asperrimus,Liodytes_rigida,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Fowlea_asperrimus,Natrix_tessellata_3,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Fowlea_asperrimus,Nerodia_clarkii,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Aquatic,Fowlea_asperrimus,Nerodia_cyclopion,0.34950419272927524,0.02515547947686969,0.11369907436570828,0.0037030845223339566,0.06930693069306931,0.0891089108910891,0.1485148514851485,0.3069306930693069
Aquatic,Fowlea_asperrimus,Nerodia_fasciata,0.7237527177397426,0.09992994340784042,0.31953251369560504,0.014710473997982821,0,0,0,0
Aquatic,Fowlea_asperrimus,Nerodia_paucimaculata,0.19825844173124374,0.011031809304863562,0.047271799169133336,0.0016239691367339226,0.27722772277227725,0.40594059405940597,0.43564356435643564,0.504950495049505
Aquatic,Fowlea_asperrimus,Nerodia_rhombifer,0.23991004288012774,0.015011837900657604,0.06432017948740706,0.0022098606640682883,0.16831683168316833,0.24752475247524752,0.3069306930693069,0.40594059405940597
