PC,df1,df2,F,p,p_bonferonni
PC1,7,90,0.8730479885289965,0.5310434191571374,1
PC2,7,90,6.795367565332,1.7882958261447569e-6,1.4306366609158055e-5
PC3,7,90,1.6481182867330209,0.1321615046492343,1
PC4,7,90,1.2721783369252095,0.27309510769886536,1
PC5,7,90,8.361375252313547,7.71832458727893e-8,6.174659669823144e-7
PC6,7,90,2.6885131159644455,0.014159659020799945,0.11327727216639956
PC7,7,90,1.9724969069410758,0.06749200464053012,0.539936037124241
PC8,7,90,2.2189896508711473,0.039778767946977676,0.3182301435758214
