Taxa1,Taxa2,Habit
Afronatrix_anoscopus_2,Thamnophis_sumichrasti,Aquatic
Afronatrix_anoscopus_2,Thamnophis_validus,Aquatic
Afronatrix_anoscopus_2,Trimerodytes_aequifasciata,Aquatic
Afronatrix_anoscopus_2,Trimerodytes_annularis,Aquatic
Afronatrix_anoscopus_2,Trimerodytes_percarinata,Aquatic
Afronatrix_anoscopus_2,Xenochrophis_cerasogaster,Aquatic
Afronatrix_anoscopus_2,Xenochrophis_trianguligerus_1,Aquatic
Afronatrix_anoscopus_2,Xenochrophis_trianguligerus_2,Aquatic
Afronatrix_anoscopus_2,Xenochrophis_vittatus,Aquatic
Atretium_schistosum_2,Helophis_schoutedeni,Aquatic
Atretium_schistosum_2,Hydraethiops_laevis,Aquatic
Atretium_schistosum_2,Hydraethiops_melanogaster,Aquatic
Atretium_schistosum_2,Limnophis_bangweolicus,Aquatic
Atretium_schistosum_2,Limnophis_bicolor,Aquatic
Atretium_schistosum_2,Liodytes_alleni,Aquatic
Atretium_schistosum_2,Liodytes_pygaea,Aquatic
Atretium_schistosum_2,Liodytes_rigida,Aquatic
Atretium_schistosum_2,Natrix_tessellata_3,Aquatic
Atretium_schistosum_2,Nerodia_clarkii,Aquatic
Atretium_schistosum_2,Nerodia_cyclopion,Aquatic
Atretium_schistosum_2,Nerodia_erythrogaster,Aquatic
Atretium_schistosum_2,Nerodia_fasciata,Aquatic
Atretium_schistosum_2,Nerodia_floridana,Aquatic
Atretium_schistosum_2,Nerodia_harteri,Aquatic
Atretium_schistosum_2,Nerodia_paucimaculata,Aquatic
Atretium_schistosum_2,Nerodia_rhombifer,Aquatic
Atretium_schistosum_2,Nerodia_sipedon,Aquatic
Atretium_schistosum_2,Nerodia_taxispilota,Aquatic
Atretium_schistosum_2,Paratapinophis_praemaxillaris,Aquatic
Atretium_schistosum_2,Regina_grahami,Aquatic
Atretium_schistosum_2,Regina_septemvittata,Aquatic
Atretium_schistosum_2,Thamnophis_couchii,Aquatic
Atretium_schistosum_2,Thamnophis_rufipunctatus,Aquatic
Atretium_schistosum_2,Thamnophis_sumichrasti,Aquatic
Atretium_schistosum_2,Thamnophis_validus,Aquatic
Atretium_schistosum_2,Trimerodytes_aequifasciata,Aquatic
Atretium_schistosum_2,Trimerodytes_annularis,Aquatic
Atretium_schistosum_2,Trimerodytes_percarinata,Aquatic
Atretium_schistosum_2,Xenochrophis_trianguligerus_1,Aquatic
Atretium_schistosum_2,Xenochrophis_trianguligerus_2,Aquatic
Atretium_schistosum_2,Xenochrophis_vittatus,Aquatic
Fowlea_asperrimus,Helophis_schoutedeni,Aquatic
Fowlea_asperrimus,Hydraethiops_laevis,Aquatic
Fowlea_asperrimus,Hydraethiops_melanogaster,Aquatic
Fowlea_asperrimus,Limnophis_bangweolicus,Aquatic
Fowlea_asperrimus,Limnophis_bicolor,Aquatic
Fowlea_asperrimus,Liodytes_alleni,Aquatic
Fowlea_asperrimus,Liodytes_pygaea,Aquatic
Fowlea_asperrimus,Liodytes_rigida,Aquatic
Fowlea_asperrimus,Natrix_tessellata_3,Aquatic
Fowlea_asperrimus,Nerodia_clarkii,Aquatic
Fowlea_asperrimus,Nerodia_cyclopion,Aquatic
Fowlea_asperrimus,Nerodia_erythrogaster,Aquatic
Fowlea_asperrimus,Nerodia_fasciata,Aquatic
Fowlea_asperrimus,Nerodia_floridana,Aquatic
Fowlea_asperrimus,Nerodia_harteri,Aquatic
Fowlea_asperrimus,Nerodia_paucimaculata,Aquatic
Fowlea_asperrimus,Nerodia_rhombifer,Aquatic
Fowlea_asperrimus,Nerodia_sipedon,Aquatic
