Species,Habit,Diet,Origin,Lineage,JL_log10_res,HLRA_log10_res,HLV_log10_res,HWLSL_log10_res,HWFSL_log10_res,HW_log10_res,HHP_log10_res,HH_log10_res,ES_log10_res,EN_log10_res,ED_log10_res,NL_log10_res,EL_log10_res,NN_log10_res,EE_log10_res,BWH_log10_res,BWM_log10_res,BWV_log10_res,MBVL_log10_res,TL_log10_res,DSR_res,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Adelophis_foxi,Burrowing,annelids,American,North-Central American,-0.08456536744482394,-0.08160079973168735,-0.059635918681351326,-0.06531562093098173,-0.03106659323937586,-0.06205603233643541,-0.04913375460999033,-0.018860866873369544,-0.04620662099765826,0.014032043159176682,-0.059933742267574044,-0.09093563984512704,-0.053276666161519486,-0.1560258003446922,-0.07009504202834062,-0.02104170350446006,0.07041051537981548,0.05496715396795342,0.07942135137919261,0.08406114873590231,-0.7426681293036225,-2.836303648824625,-1.2784499326566832,0.03555692760216238,-0.5050341107851866,-0.044812081109974033,1.0019637193617712,0.06345754505524626,0.5933202972199141,-0.6090878620953838,-0.04815332049333171,-0.2695391534876539,-0.2858834724884129,-0.3720322762750735,0.2402672305132065,0.06692093022642567
Afronatrix_anoscopus_2,Aquatic,aquatic generalist,African,African,-0.0031530673389901227,-0.00787695110534869,-0.01032335176890226,0.0548058045389247,-0.03547705310219357,0.05429574731360506,0.039652984804559574,0.06645976454926224,0.0035978078657608868,-0.002029008973972917,-0.057938684343775484,0.03329862000101623,0.047220016468320004,-0.06930772630990296,-0.02101552541441885,0.07732865653503264,0.08736487597988411,0.07571625294273002,0.056029538009766684,0.022696997596406795,4.468066604286521,0.9559693522976551,-1.2276125237329145,-1.005346958690667,-0.3890518334370914,-0.6613727575190302,0.6179063784017541,-0.3025336103610201,0.3352692228889288,0.4888553338653847,0.17652854056800588,-0.21726580212550142,-0.1251064916732783,0.15116861234142587,0.23325566529606734,-0.025035775490582335
Amphiesma_beddomei,Terrestrial,anurans,Asian,Asian I,-0.02353289355521673,-0.02331495227178358,-0.022730531099604483,-0.028355678054559377,-0.03258720074752781,-0.021613765945744014,-0.05215839194312414,-0.061112061382282,-0.02764400193377292,-0.016994408012542782,0.06341632744163635,-0.007142567292884034,-0.01680746907408219,0.022394541804472826,-0.02360638557301323,-0.07983766719982749,-0.08235152804577146,-0.04744514111876047,-0.04397218857086142,0.0569999338086982,0.4809715711368647,-0.9223152080314139,0.43068215489470313,0.4766675145330384,-0.3309361334607277,7.807210937371273e-4,-0.38742884318545284,-0.27098755661578733,0.38292511305021865,0.15987040273506734,0.36432860931847255,-0.03656950859157785,-0.04212345699005507,-0.13795032957516656,-0.0703488680711809,0.016760937660794485
Amphiesma_monticola,Terrestrial,anurans,Asian,Asian I,0.044079031729448326,0.021061186089790847,0.01565395968604599,0.006537936600522093,0.06242953573032293,0.02035630587496836,4.630877885549626e-4,-7.567300322091031e-4,0.06465400645962806,0.059213658203455505,0.13933298983841044,0.013355501161171707,0.04718357862707599,0.04708278922877801,0.01966779369141267,-0.03806017442093558,-0.04900439681268493,-2.569507930291551e-4,0.0017906696317155132,0.1382424717078946,0.5351646142778635,2.0943243837383982,0.2628742024669976,1.031857344039566,0.21310917034825527,0.6379518936835141,0.023012451291892198,0.14848212951309006,0.5386095857574659,-0.016087832076921077,-0.13550087192432964,0.01777727638845921,-0.4552474128153658,-0.1700785897777776,1.0681913408640102e-4,0.07661705532780229
Amphiesma_stolatum,Terrestrial,generalist,Asian,Asian I,0.014475166836137508,0.017042466442834674,-0.007100233291154506,0.00899335232026136,0.13779001967255777,-0.0016939284264212836,0.01933120749988919,0.03806619090375357,0.031216500234944454,0.006828065113685628,0.05756435252981552,0.12327420814141071,0.16307957677434054,-0.09693049183699107,-0.11298479767907196,0.05468439600368492,-0.025919136209519772,-0.05082133339551861,0.03953962745535247,0.1006133480601228,0.21186722388349152,1.434449306355122,-0.30344388200515415,-0.5903058764652321,-2.3898752881874588,0.8723954403757805,1.508863213573421,0.8184093858296536,1.4800677029304774,0.1979229094585877,0.33326423248491244,0.1598792062660856,-0.6720313491696627,0.4786433374312612,-0.13616388998114382,-0.1402064330766915
Amphiesma_stolatum_1,Terrestrial,generalist,Asian,Asian I,0.026211850288972237,0.0320857749170304,0.023284433206034485,0.0022794077630361115,0.14909638042802473,0.004682374650279811,0.04515584891041224,0.011665274309539784,0.030474471346186888,1.1561407243855957e-4,0.08921090802777154,0.032591093429028474,0.038283600802609244,0.016723420825137156,0.005813580212165464,-0.01617523211278089,-0.019755141032866044,-0.022971510998155153,-0.012310829786060552,0.10963364737140018,0.5977329908497047,1.8765366697814634,0.6469124842782813,8.443948504790241e-4,-0.4436709754173855,0.09965394516667678,0.3881911426596663,0.856507986178464,0.21767264744469997,-0.4335712742984223,-0.339556557256841,0.3646457708160433,-0.35361328660379254,-0.148306571186752,-0.2863116964121879,0.05672795867077527
Amphiesma_stolatum_2,Terrestrial,generalist,Asian,Asian I,0.05692940660793152,0.054495244704721266,0.051271253532905715,0.037544168792076324,0.13398564859086926,0.05378029541924775,0.04848744351913825,0.061875613282826945,0.06630924350677542,0.00975493683713997,0.13034988558289878,0.07038414342540582,0.08766659003336372,0.059367983123455516,0.03140679745570355,0.0345681075877194,0.032806047403085334,0.003022301189552052,0.0517688461918987,0.14065957380628272,1.1489942092426528,3.500873316305936,0.672565820281285,0.12477361736861578,-0.3194225176083676,0.12319765924944873,0.29652230338128266,0.5654514914430648,0.020481428544837726,0.05526479935308928,-0.07509774359897683,0.013195234055319097,-0.47680268342505605,-0.09016491257314727,-0.18155250636086698,0.15276346036399746
Amphiesma_stolatum_3,Terrestrial,generalist,Asian,Asian I,0.025911869067185317,0.04181155792649741,0.012912062281841514,0.022423788317070016,0.07712175961434231,0.01987018389147866,0.01754558427308235,0.058402261128676525,0.0203388357898198,-0.0020323175242919576,0.092137942821631,0.05154977757174288,0.06883928047105559,0.007993170329872082,0.018064384533182445,5.530350119621573e-4,-0.008521656032340183,0.003715267923342121,0.04862812308902227,0.12751529822291585,0.6244924041901676,2.055837542451422,0.34244521975779174,0.0943601910510255,-0.6308725767018811,-0.1686433834020683,0.47759640822036276,0.15183469659109092,0.07185276853457287,-0.05647473118727278,-0.06657911933094086,-0.2522780747132296,0.004545781312899594,6.826983775579283e-4,-0.1698971413248109,-0.03529273107238623
Amphiesma_stolatum_WII,Terrestrial,generalist,Asian,Asian I,0.013614324949573884,0.015955513599182264,-0.027221178067619402,0.01715587770254567,0.11884338969501915,0.004860248225988791,0.0054730908478738925,-0.003384974709238186,-0.0030598602690826565,0.004389837653270547,0.08634733033620645,-0.005331046313794495,0.02563217505570317,0.019929954306149387,0.009812147720422586,-0.04404673264984184,-0.038710469967221495,-0.09796014140952614,-0.027987823924151712,0.11638715928648141,0.8289295136210773,0.9876243502528397,0.7568689290141875,0.19721441979925072,-0.16931748900843416,-0.30903662081432176,0.3123413726382417,0.4714356964960269,0.781580186509295,-0.45758483067261296,-0.3332850998359178,-0.12394541342845337,0.07066830530678271,-0.05277103714849849,-0.03992996743059433,-0.0955057534530271
Amphiesmoides_ornaticeps,Semiaquatic,anurans,Asian,Asian VI,-0.10878186939555055,-0.11659963728582835,-0.12556475533381836,-0.17470194107782827,-0.02840829815805371,-0.15074702817255767,-0.12286065036585651,-0.15098835141971484,-0.06852994373754157,-0.09059342526241677,0.06524324229460163,-0.23314949503979332,-0.16339088746147315,0.027185666814962345,-0.06253373968408817,-0.2386409523937591,-0.1048721161335964,-0.05501476595382427,-0.14775536211311144,0.23142516956680156,-0.5574908967051673,-5.650608328760651,1.4550941973899871,1.8386312232035293,0.5008844806129527,-0.4270343908577505,0.3268049822097553,0.686561298231504,0.3316860620723697,-0.05766042623640699,-0.17924685352584352,0.11009417761946819,-0.22276345318938207,-0.4164562294990319,-0.25052914875991045,0.13403547880243255
