PC,df1,df2,F,p,p_bonferonni
Comp1,3,119,0.2194385993348101,0.8827444785237805,1
Comp2,3,119,5.4312079463647125,0.0015525130820880576,0.012420104656704461
Comp3,3,119,0.4766017244369589,0.6991647674807779,1
Comp4,3,119,1.5456336223852163,0.20631950828220053,1
Comp5,3,119,2.0999643066489733,0.10388063457756286,0.8310450766205029
Comp6,3,119,0.1914713350235649,0.9020332468956697,1
Comp7,3,119,0.9936999583842967,0.3983534639044548,1
Comp8,3,119,1.1125143007632559,0.3468991597952089,1
