PC,df1,df2,F,p,p_bonferonni
Comp1,3,94,0.10771453055455397,0.9553958866273546,1
Comp2,3,94,2.936727450106229,0.03730672843831499,0.29845382750651994
Comp3,3,94,0.49741573195378397,0.6849602465484758,1
Comp4,3,94,2.1776174850023637,0.09580749399343055,0.7664599519474444
Comp5,3,94,1.3734981746635369,0.255689895822256,1
Comp6,3,94,0.3812477154754166,0.7667400397172923,1
Comp7,3,94,0.7908738467837455,0.5019615427382343,1
Comp8,3,94,0.5013057546537926,0.6822924548453937,1
